[2024-04-14T00:57:25.384+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S000250.json to gs://congress_data/members/member_S000250.json
[2024-04-14T00:57:25.912+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_D000632.json to gs://congress_data/members/member_D000632.json
[2024-04-14T00:57:26.613+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001312.json to gs://congress_data/members/member_B001312.json
[2024-04-14T00:57:27.140+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001257.json to gs://congress_data/members/member_B001257.json
[2024-04-14T00:57:27.745+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_W000038.json to gs://congress_data/members/member_W000038.json
[2024-04-14T00:57:28.270+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C001090.json to gs://congress_data/members/member_C001090.json
[2024-04-14T00:57:28.746+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_L000582.json to gs://congress_data/members/member_L000582.json
[2024-04-14T00:57:29.202+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S001197.json to gs://congress_data/members/member_S001197.json
[2024-04-14T00:57:29.625+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_L000594.json to gs://congress_data/members/member_L000594.json
[2024-04-14T00:57:30.041+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000579.json to gs://congress_data/members/member_G000579.json
[2024-04-14T00:57:30.458+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_F000478.json to gs://congress_data/members/member_F000478.json
[2024-04-14T00:57:30.884+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_P000619.json to gs://congress_data/members/member_P000619.json
[2024-04-14T00:57:31.293+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000596.json to gs://congress_data/members/member_G000596.json
[2024-04-14T00:57:31.747+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_J000099.json to gs://congress_data/members/member_J000099.json
[2024-04-14T00:57:32.181+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S001181.json to gs://congress_data/members/member_S001181.json
[2024-04-14T00:57:32.597+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001304.json to gs://congress_data/members/member_B001304.json
[2024-04-14T00:57:33.076+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_D000624.json to gs://congress_data/members/member_D000624.json
[2024-04-14T00:57:33.526+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_J000308.json to gs://congress_data/members/member_J000308.json
[2024-04-14T00:57:33.944+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C000802.json to gs://congress_data/members/member_C000802.json
[2024-04-14T00:57:34.371+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C001069.json to gs://congress_data/members/member_C001069.json
[2024-04-14T00:57:34.832+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_H001084.json to gs://congress_data/members/member_H001084.json
