[2024-06-30T19:31:21.251+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.get_votes_from_downloaded_bills scheduled__2024-06-29T00:00:00+00:00 [queued]>
[2024-06-30T19:31:21.259+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.get_votes_from_downloaded_bills scheduled__2024-06-29T00:00:00+00:00 [queued]>
[2024-06-30T19:31:21.259+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-06-30T19:31:21.276+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): get_votes_from_downloaded_bills> on 2024-06-29 00:00:00+00:00
[2024-06-30T19:31:21.284+0000] {standard_task_runner.py:60} INFO - Started process 801 to run task
[2024-06-30T19:31:21.288+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'get_votes_from_downloaded_bills', 'scheduled__2024-06-29T00:00:00+00:00', '--job-id', '18', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpaalu6m6k']
[2024-06-30T19:31:21.292+0000] {standard_task_runner.py:88} INFO - Job 18: Subtask get_votes_from_downloaded_bills
[2024-06-30T19:31:21.395+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.get_votes_from_downloaded_bills scheduled__2024-06-29T00:00:00+00:00 [running]> on host 321f475acc45
[2024-06-30T19:31:21.531+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='get_votes_from_downloaded_bills' AIRFLOW_CTX_EXECUTION_DATE='2024-06-29T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-06-29T00:00:00+00:00'
[2024-06-30T19:31:26.058+0000] {get_data.py:98} INFO - Opened bill HJRES 48
[2024-06-30T19:31:26.058+0000] {get_data.py:98} INFO - Opened bill HJRES 60
[2024-06-30T19:31:26.058+0000] {get_data.py:98} INFO - Opened bill HJRES 74
[2024-06-30T19:31:26.542+0000] {get_data.py:98} INFO - Opened bill HJRES 5
[2024-06-30T19:31:26.543+0000] {get_data.py:98} INFO - Opened bill HJRES 146
[2024-06-30T19:31:26.543+0000] {get_data.py:98} INFO - Opened bill HJRES 152
[2024-06-30T19:31:26.543+0000] {get_data.py:98} INFO - Opened bill HJRES 1
[2024-06-30T19:31:26.543+0000] {get_data.py:98} INFO - Opened bill HJRES 156
[2024-06-30T19:31:26.544+0000] {get_data.py:98} INFO - Opened bill HJRES 142
[2024-06-30T19:31:26.544+0000] {get_data.py:98} INFO - Opened bill HJRES 58
[2024-06-30T19:31:26.544+0000] {get_data.py:98} INFO - Opened bill HJRES 70
[2024-06-30T19:31:26.996+0000] {get_data.py:98} INFO - Opened bill HJRES 64
[2024-06-30T19:31:26.998+0000] {get_data.py:98} INFO - Opened bill HJRES 65
[2024-06-30T19:31:26.998+0000] {get_data.py:98} INFO - Opened bill HJRES 71
[2024-06-30T19:31:27.701+0000] {get_data.py:98} INFO - Opened bill HJRES 59
[2024-06-30T19:31:27.702+0000] {get_data.py:98} INFO - Opened bill HJRES 143
[2024-06-30T19:31:27.703+0000] {get_data.py:98} INFO - Opened bill HJRES 157
[2024-06-30T19:31:27.703+0000] {get_data.py:98} INFO - Opened bill HJRES 169
[2024-06-30T19:31:27.704+0000] {get_data.py:98} INFO - Opened bill HJRES 2
[2024-06-30T19:31:27.705+0000] {get_data.py:98} INFO - Opened bill HJRES 141
[2024-06-30T19:31:27.705+0000] {get_data.py:98} INFO - Opened bill HJRES 155
[2024-06-30T19:31:27.706+0000] {get_data.py:98} INFO - Opened bill HJRES 98
[2024-06-30T19:31:28.721+0000] {logging_mixin.py:188} INFO - An exception occurred 'rollcall-vote' Failed to save one or more votes for {bill_type} {bill_number}
[2024-06-30T19:31:28.907+0000] {logging_mixin.py:188} INFO - An exception occurred 'rollcall-vote' Failed to save one or more votes for {bill_type} {bill_number}
[2024-06-30T19:31:28.907+0000] {get_data.py:98} INFO - Opened bill HJRES 67
[2024-06-30T19:31:28.908+0000] {get_data.py:98} INFO - Opened bill HJRES 73
[2024-06-30T19:31:28.908+0000] {get_data.py:98} INFO - Opened bill HJRES 72
[2024-06-30T19:31:28.908+0000] {get_data.py:98} INFO - Opened bill HJRES 66
[2024-06-30T19:31:28.908+0000] {get_data.py:98} INFO - Opened bill HJRES 99
[2024-06-30T19:31:28.908+0000] {get_data.py:98} INFO - Opened bill HJRES 154
[2024-06-30T19:31:28.909+0000] {get_data.py:98} INFO - Opened bill HJRES 140
[2024-06-30T19:31:28.909+0000] {get_data.py:98} INFO - Opened bill HJRES 3
[2024-06-30T19:31:28.909+0000] {get_data.py:98} INFO - Opened bill HJRES 168
[2024-06-30T19:31:28.909+0000] {get_data.py:98} INFO - Opened bill HJRES 165
[2024-06-30T19:31:28.910+0000] {get_data.py:98} INFO - Opened bill HJRES 171
[2024-06-30T19:31:28.910+0000] {get_data.py:98} INFO - Opened bill HJRES 159
[2024-06-30T19:31:28.910+0000] {get_data.py:98} INFO - Opened bill HJRES 80
[2024-06-30T19:31:28.910+0000] {get_data.py:98} INFO - Opened bill HJRES 94
[2024-06-30T19:31:28.910+0000] {get_data.py:98} INFO - Opened bill HJRES 43
[2024-06-30T19:31:28.911+0000] {get_data.py:98} INFO - Opened bill HJRES 57
[2024-06-30T19:31:28.911+0000] {get_data.py:98} INFO - Opened bill HJRES 56
[2024-06-30T19:31:28.911+0000] {get_data.py:98} INFO - Opened bill HJRES 42
