[2024-04-12T17:44:22.990+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S000250.json to gs://congress_data/members/member_S000250.json
[2024-04-12T17:44:23.473+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_D000632.json to gs://congress_data/members/member_D000632.json
[2024-04-12T17:44:23.928+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001312.json to gs://congress_data/members/member_B001312.json
[2024-04-12T17:44:24.364+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001257.json to gs://congress_data/members/member_B001257.json
[2024-04-12T17:44:24.814+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_W000038.json to gs://congress_data/members/member_W000038.json
[2024-04-12T17:44:25.246+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C001090.json to gs://congress_data/members/member_C001090.json
[2024-04-12T17:44:25.691+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_L000582.json to gs://congress_data/members/member_L000582.json
[2024-04-12T17:44:26.167+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S001197.json to gs://congress_data/members/member_S001197.json
[2024-04-12T17:44:26.631+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_L000594.json to gs://congress_data/members/member_L000594.json
[2024-04-12T17:44:27.066+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000579.json to gs://congress_data/members/member_G000579.json
[2024-04-12T17:44:27.515+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_F000478.json to gs://congress_data/members/member_F000478.json
[2024-04-12T17:44:28.020+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_P000619.json to gs://congress_data/members/member_P000619.json
[2024-04-12T17:44:28.461+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000596.json to gs://congress_data/members/member_G000596.json
[2024-04-12T17:44:28.997+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_J000099.json to gs://congress_data/members/member_J000099.json
[2024-04-12T17:44:29.421+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S001181.json to gs://congress_data/members/member_S001181.json
[2024-04-12T17:44:29.842+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001304.json to gs://congress_data/members/member_B001304.json
[2024-04-12T17:44:30.312+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_D000624.json to gs://congress_data/members/member_D000624.json
[2024-04-12T17:44:30.746+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_J000308.json to gs://congress_data/members/member_J000308.json
[2024-04-12T17:44:31.183+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C000802.json to gs://congress_data/members/member_C000802.json
[2024-04-12T17:44:31.707+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C001069.json to gs://congress_data/members/member_C001069.json
