[2024-06-21T03:25:59.403+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/S/votes_sbill_status_11.json to gs://congress_data_testproject-420401/votes/S/votes_sbill_status_11.json
[2024-06-21T03:26:00.132+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/S/votes_sbill_status_1.json to gs://congress_data_testproject-420401/votes/S/votes_sbill_status_1.json
[2024-06-21T03:26:00.781+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/S/votes_sbill_status_0.json to gs://congress_data_testproject-420401/votes/S/votes_sbill_status_0.json
[2024-06-21T03:26:01.482+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/S/votes_sbill_status_10.json to gs://congress_data_testproject-420401/votes/S/votes_sbill_status_10.json
[2024-06-21T03:26:02.282+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/SRES/votes_sresbill_status_2.json to gs://congress_data_testproject-420401/votes/SRES/votes_sresbill_status_2.json
[2024-06-21T03:26:02.886+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/SRES/votes_sresbill_status_1.json to gs://congress_data_testproject-420401/votes/SRES/votes_sresbill_status_1.json
[2024-06-21T03:26:03.454+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/SRES/votes_sresbill_status_0.json to gs://congress_data_testproject-420401/votes/SRES/votes_sresbill_status_0.json
[2024-06-21T03:26:04.188+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_9.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_9.json
[2024-06-21T03:26:04.921+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_25.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_25.json
[2024-06-21T03:26:05.570+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_33.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_33.json
[2024-06-21T03:26:06.370+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_13.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_13.json
[2024-06-21T03:26:07.148+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_5.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_5.json
[2024-06-21T03:26:07.900+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_29.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_29.json
[2024-06-21T03:26:08.596+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_28.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_28.json
[2024-06-21T03:26:09.296+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_4.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_4.json
[2024-06-21T03:26:09.945+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_12.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_12.json
[2024-06-21T03:26:10.601+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_32.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_32.json
[2024-06-21T03:26:11.276+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_24.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_24.json
[2024-06-21T03:26:11.947+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_8.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_8.json
[2024-06-21T03:26:12.803+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_15.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_15.json
[2024-06-21T03:26:13.524+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_3.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_3.json
[2024-06-21T03:26:14.357+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_19.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_19.json
[2024-06-21T03:26:14.980+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_23.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_23.json
[2024-06-21T03:26:15.332+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_35.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_35.json
[2024-06-21T03:26:16.043+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_34.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_34.json
[2024-06-21T03:26:16.773+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_22.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_22.json
[2024-06-21T03:26:17.492+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_18.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_18.json
[2024-06-21T03:26:18.222+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_2.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_2.json
[2024-06-21T03:26:18.934+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_14.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_14.json
[2024-06-21T03:26:19.673+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_1.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_1.json
[2024-06-21T03:26:20.388+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_17.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_17.json
[2024-06-21T03:26:21.042+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_21.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_21.json
[2024-06-21T03:26:21.850+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_20.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_20.json
[2024-06-21T03:26:22.500+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_16.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_16.json
[2024-06-21T03:26:23.089+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_0.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_0.json
[2024-06-21T03:26:23.733+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_31.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_31.json
[2024-06-21T03:26:24.645+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_27.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_27.json
[2024-06-21T03:26:25.258+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_7.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_7.json
[2024-06-21T03:26:25.970+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_11.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_11.json
[2024-06-21T03:26:26.781+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_10.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_10.json
[2024-06-21T03:26:27.545+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_6.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_6.json
[2024-06-21T03:26:28.250+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_26.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_26.json
[2024-06-21T03:26:29.016+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HR/votes_hrbill_status_30.json to gs://congress_data_testproject-420401/votes/HR/votes_hrbill_status_30.json
[2024-06-21T03:26:29.939+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/SJRES/votes_sjresbill_status_0.json to gs://congress_data_testproject-420401/votes/SJRES/votes_sjresbill_status_0.json
[2024-06-21T03:26:29.940+0000] {python.py:202} INFO - Done. Returned value was: None
[2024-06-21T03:26:29.963+0000] {taskinstance.py:1149} INFO - Marking task as SUCCESS. dag_id=upload_congress_data, task_id=upload_votes_to_gcs, execution_date=20240620T000000, start_date=20240621T032544, end_date=20240621T032629
[2024-06-21T03:26:30.027+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2024-06-21T03:26:30.085+0000] {taskinstance.py:3312} INFO - 1 downstream tasks scheduled from follow-on schedule check
