[2024-06-09T00:38:16.304+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/sres/sresbill_status_0.json to gs://congress_data_testproject-420401/bill_status/sres/sresbill_status_0.json
[2024-06-09T00:38:16.658+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/sres/sresbill_status_2.json to gs://congress_data_testproject-420401/bill_status/sres/sresbill_status_2.json
[2024-06-09T00:38:17.040+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_26.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_26.json
[2024-06-09T00:38:17.397+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_30.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_30.json
[2024-06-09T00:38:17.760+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_10.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_10.json
[2024-06-09T00:38:18.165+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_0.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_0.json
[2024-06-09T00:38:18.571+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_1.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_1.json
[2024-06-09T00:38:18.941+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_11.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_11.json
[2024-06-09T00:38:19.302+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_31.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_31.json
[2024-06-09T00:38:19.683+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_27.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_27.json
[2024-06-09T00:38:20.101+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_16.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_16.json
[2024-06-09T00:38:20.488+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_6.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_6.json
[2024-06-09T00:38:20.878+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_20.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_20.json
[2024-06-09T00:38:21.252+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_21.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_21.json
[2024-06-09T00:38:21.638+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_7.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_7.json
[2024-06-09T00:38:22.009+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_17.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_17.json
[2024-06-09T00:38:22.356+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_4.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_4.json
[2024-06-09T00:38:22.774+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_14.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_14.json
[2024-06-09T00:38:23.130+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_8.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_8.json
[2024-06-09T00:38:23.512+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_18.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_18.json
[2024-06-09T00:38:23.922+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_34.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_34.json
[2024-06-09T00:38:24.267+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_22.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_22.json
[2024-06-09T00:38:24.641+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_23.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_23.json
[2024-06-09T00:38:25.022+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_19.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_19.json
[2024-06-09T00:38:25.388+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_9.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_9.json
[2024-06-09T00:38:25.747+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_15.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_15.json
[2024-06-09T00:38:26.177+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_5.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_5.json
[2024-06-09T00:38:26.658+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_32.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_32.json
[2024-06-09T00:38:27.065+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_24.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_24.json
[2024-06-09T00:38:27.436+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_2.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_2.json
[2024-06-09T00:38:27.800+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_12.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_12.json
[2024-06-09T00:38:28.192+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_28.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_28.json
[2024-06-09T00:38:28.550+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_29.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_29.json
[2024-06-09T00:38:28.915+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_13.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_13.json
[2024-06-09T00:38:29.299+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_3.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_3.json
[2024-06-09T00:38:29.661+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_25.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_25.json
[2024-06-09T00:38:30.012+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hr/hrbill_status_33.json to gs://congress_data_testproject-420401/bill_status/hr/hrbill_status_33.json
[2024-06-09T00:38:30.338+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/sjres/sjresbill_status_0.json to gs://congress_data_testproject-420401/bill_status/sjres/sjresbill_status_0.json
[2024-06-09T00:38:30.339+0000] {python.py:202} INFO - Done. Returned value was: None
[2024-06-09T00:38:30.347+0000] {taskinstance.py:1149} INFO - Marking task as SUCCESS. dag_id=upload_congress_data, task_id=upload_bill_status_to_gcs, execution_date=20240609T003607, start_date=20240609T003806, end_date=20240609T003830
[2024-06-09T00:38:30.399+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2024-06-09T00:38:30.419+0000] {taskinstance.py:3312} INFO - 1 downstream tasks scheduled from follow-on schedule check
