[2024-04-25T04:00:54.316+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hconres/BILLSTATUS-118hconres40.json to gs://congress_data_testproject-420401/bill_status/hconres/BILLSTATUS-118hconres40.json
[2024-04-25T04:00:54.628+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hconres/BILLSTATUS-118hconres21.json to gs://congress_data_testproject-420401/bill_status/hconres/BILLSTATUS-118hconres21.json
[2024-04-25T04:00:54.940+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hconres/BILLSTATUS-118hconres3.json to gs://congress_data_testproject-420401/bill_status/hconres/BILLSTATUS-118hconres3.json
[2024-04-25T04:00:55.263+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hconres/BILLSTATUS-118hconres86.json to gs://congress_data_testproject-420401/bill_status/hconres/BILLSTATUS-118hconres86.json
[2024-04-25T04:00:55.557+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hconres/BILLSTATUS-118hconres9.json to gs://congress_data_testproject-420401/bill_status/hconres/BILLSTATUS-118hconres9.json
[2024-04-25T04:00:55.867+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hconres/BILLSTATUS-118hconres25.json to gs://congress_data_testproject-420401/bill_status/hconres/BILLSTATUS-118hconres25.json
[2024-04-25T04:00:56.223+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/BILLSTATUS-118s870.json to gs://congress_data_testproject-420401/bill_status/s/BILLSTATUS-118s870.json
[2024-04-25T04:00:56.509+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/BILLSTATUS-118s3427.json to gs://congress_data_testproject-420401/bill_status/s/BILLSTATUS-118s3427.json
[2024-04-25T04:00:56.796+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/BILLSTATUS-118s112.json to gs://congress_data_testproject-420401/bill_status/s/BILLSTATUS-118s112.json
[2024-04-25T04:00:57.169+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/BILLSTATUS-118s3250.json to gs://congress_data_testproject-420401/bill_status/s/BILLSTATUS-118s3250.json
[2024-04-25T04:00:57.485+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/BILLSTATUS-118s2226.json to gs://congress_data_testproject-420401/bill_status/s/BILLSTATUS-118s2226.json
